gene,source
MAPT,zhao
PTPN6,zhao
BAMBI,zhao
CHRNB2,zhao
GRIN1,zhao
DRGX,zhao
NR2C2,zhao
STARD13,zhao
NDN,zhao
NPPC,zhao
GLRA2,zhao
CACNA1B,zhao
ACHE,zhao
PRKCD,zhao
ADORA3,zhao
CDK5R1,zhao
SCN2B,zhao
ST8SIA1,zhao
PER2,zhao
OSM,zhao
RGS4,zhao
SYN2,zhao
CSK,zhao
NAV2,zhao
CARD16,zhao
AGTR2,zhao
PTGDR,zhao
LAMA4,zhao
PIP5K1A,zhao
NOX4,zhao
ACP3,zhao
LPAR5,zhao
CNR2,zhao
LPAR3,zhao
PRKAA2,zhao
PRNP,zhao
HINT1,zhao
GRIK1,zhao
BBS1,zhao
CYBB,zhao
PLCB4,zhao
OPRL1,zhao
SLC6A1,zhao
MC1R,zhao
DICER1,zhao
C5AR1,zhao
STK39,zhao
CD14,zhao
THBS4,zhao
KCNK18,zhao
CCR1,zhao
HMOX2,zhao
IL6ST,zhao
POR,zhao
FRMPD4,zhao
BDKRB1,zhao
SESN2,zhao
PTH2,zhao
KLF11,zhao
MIF,zhao
CHRM1,zhao
AQP1,zhao
NBL1,zhao
CXCR3,zhao
EGR1,zhao
MAP3K8,zhao
PPP1R9B,zhao
IL1RL1,zhao
CACNA1G,zhao
GRK6,zhao
KIT,zhao
FOXN1,zhao
LXN,zhao
GPR3,zhao
CTSB,zhao
ITPR1,zhao
SLC12A6,zhao
DPP4,zhao
IL1RAP,zhao
RUNX1,zhao
RAG1,zhao
BHLHE22,zhao
P2RX4,zhao
DTNBP1,zhao
NPY,zhao
HTR1B,zhao
ANXA1,zhao
SLC17A6,zhao
PTGES,zhao
PPARA,zhao
PTN,zhao
MME,zhao
KLF7,zhao
ZEB2,zhao
NR1H2,zhao
P2RY2,zhao
F2RL3,zhao
MRGPRE,zhao
ICA1,zhao
IDO1,zhao
MAPK9,zhao
PTGFR,zhao
ADORA1,zhao
SLC12A2,zhao
PRLHR,zhao
ENPP2,zhao
F2RL1,zhao
P2RY1,zhao
GLA,zhao
PROK2,zhao
NOX1,zhao
SHC1,zhao
HCN1,zhao
RELN,zhao
NMU,zhao
KCNIP3,zhao
PRL,zhao
KCNK3,zhao
ANO1,zhao
CX3CR1,zhao
CACNB3,zhao
PIP5K1C,zhao
OXT,zhao
CRIP2,zhao
CHRNB4,zhao
NPY1R,zhao
SPHK2,zhao
PTGER3,zhao
GRIN3A,zhao
COL9A1,zhao
ADCY5,zhao
LEP,zhao
MAPK10,zhao
GRIA2,zhao
PRX,zhao
TYRP1,zhao
HRH1,zhao
FOSB,zhao
CD274,zhao
ALOX12,zhao
PTGER1,zhao
FMR1,zhao
KIF1A,zhao
ADRA2C,zhao
PLCB1,zhao
HDC,zhao
GJA1,zhao
GABRG2,zhao
KCNK10,zhao
ADCY8,zhao
PRKAR1B,zhao
HRH2,zhao
NEDD4L,zhao
GFAP,zhao
ABCC3,zhao
IFNGR1,zhao
SRR,zhao
PENK,zhao
CDK5,zhao
PRKG1,zhao
CD4,zhao
LMX1B,zhao
SRD5A1,zhao
AQP4,zhao
MMP24,zhao
PLCL1,zhao
NR2F6,zhao
CD38,zhao
HLA-DQB2,zhao
MGLL,zhao
DLG2,zhao
GABRB3,zhao
CNGA3,zhao
IKBKE,zhao
GRM5,zhao
PTH2R,zhao
UCHL1,zhao
GNAZ,zhao
PCSK2,zhao
GALR2,zhao
HCRT,zhao
NTSR2,zhao
BBS4,zhao
YY1,zhao
PNOC,zhao
NFKB1,zhao
GABRD,zhao
TRPM3,zhao
PTAFR,zhao
HOXB8,zhao
SPP1,zhao
DAB1,zhao
LCN2,zhao
CHRNA7,zhao
DUSP6,zhao
RABGGTA,zhao
ALOX5,zhao
PRKCB,zhao
PRKCE,zhao
TAC4,zhao
FYN,zhao
GAL,zhao
SLC32A1,zhao
BACE1,zhao
CACNA1H,zhao
MAPK8,zhao
GFRA2,zhao
DISC1,zhao
CHRNA4,zhao
CHRFAM7A,zhao
HLA-DQB1,zhao
IL18,zhao
TRPM2,zhao
GRM4,zhao
ADM,zhao
P2RX2,zhao
FSTL1,zhao
PER1,zhao
NT5E,zhao
RGS9,zhao
HCN2,zhao
KCNJ5,zhao
CAMK2A,zhao
VIP,zhao
KCNQ2,zhao
LYN,zhao
CCKBR,zhao
LYST,zhao
GRM2,zhao
IL17A,zhao
HDAC4,zhao
GALR1,zhao
LPAR1,zhao
P2RY12,zhao
HRH3,zhao
ADAM11,zhao
RASD2,zhao
PTGER4,zhao
BDKRB2,zhao
KCNJ9,zhao
DTNB,zhao
EFNB1,zhao
NMUR2,zhao
TLR9,zhao
PICK1,zhao
PIRT,zhao
CTSS,zhao
NTF4,zhao
L1CAM,zhao
LEPR,zhao
PIK3CG,zhao
DAO,zhao
NFE2L2,zhao
S100A10,zhao
CSF2,zhao
ADCY1,zhao
RET,zhao
NRG1,zhao
NPEPPS,zhao
SLC17A7,zhao
PTPRZ1,zhao
PRLR,zhao
SPARC,zhao
PTGIR,zhao
STOML3,zhao
LGALS1,zhao
GABBR2,zhao
CALB1,zhao
ADORA2A,zhao
PLCB3,zhao
TLR5,zhao
PMP22,zhao
CCR7,zhao
CASP6,zhao
S1PR3,zhao
SSTR4,zhao
GRN,zhao
