DES	TPM3
DES	MYH7
DES	RAPSN
DES	CHRND
DES	LAMB2
DES	RYR1
DES	TPM2
DES	SCN4A
DES	STAC3
DES	CHRNA1
DES	CHRNB1
DES	ITGA7
DES	CLIP3
DES	SELENON
DES	NEB
DES	CHRNG
DES	BIN1
DES	ACTA1
UTRN	TOR1AIP1
UTRN	EGLN3
UTRN	ESR2
UTRN	MYC
UTRN	LAMB2
UTRN	CHRNB1
UTRN	CLIP3
UTRN	ACTA1
