fromnodeid	tonodeid
SNW1	BICD2
SNW1	HNRNPM
SNW1	SLU7
SNW1	TUBGCP3
SNW1	RARA
SNW1	RXRA
SNW1	EP300
SNW1	SMAD2
SNW1	HNRNPA2B1
SNW1	SND1
SNW1	IKBKG
SNW1	CTNNBL1
SNW1	DHX8
SNW1	SNRPB2
SNW1	TRA2B
SNW1	FRG1
SNW1	SF3B1
SNW1	ACIN1
SNW1	ALYREF
SNW1	RBM17
SNW1	CWC15
SNW1	ISY1
SNW1	PCBD2
SNW1	LSM4
SNW1	SF3B4
SNW1	PRPF40A
SNW1	SRRM1
SNW1	RALY
SNW1	IKZF1
SNW1	SMNDC1
SNW1	SNRPC
SNW1	JDP2
SNW1	SRSF9
SNW1	THOC5
SNW1	DDX46
SNW1	SRSF6
SNW1	MCMBP
SF3B1	RPN1
SF3B1	HNRNPA3
SF3B1	HNRNPC
SF3B1	PHB2
SF3B1	ZNF207
SF3B1	SLC25A5
SF3B1	DICER1
SF3B1	DDX41
SF3B1	HNRNPA1
SF3B1	YBX1
SF3B1	HNRNPF
SF3B1	COPA
SF3B1	RPS9
SF3B1	DYNC1H1
SF3B1	ARRB2
SF3B1	HNRNPH2
SF3B1	RBM22
SF3B1	RPL38
SF3B1	RNPC3
SF3B1	U2SURP
SF3B1	HNRNPK
SF3B1	HDAC3
SF3B1	RNPS1
SF3B1	SFPQ
SF3B1	CD2BP2
SF3B1	RNF149
SF3B1	SYF2
SF3B1	SYNCRIP
SF3B1	TRIR
SF3B1	SF3B5
SF3B1	RPS7
SF3B1	ZMAT5
SF3B1	HNRNPU
SF3B1	RPL4
SF3B1	HNRNPR
SF3B1	SNRPD3
SF3B1	SPEN
SF3B1	ATG12
SF3B1	THOC6
SF3B1	LYAR
SF3B1	PAXBP1
SF3B1	SART1
SF3B1	NRG1
SF3B1	BUD31
SF3B1	RPL26
SF3B1	SNRNP27
SF3B1	RPL28
SF3B1	SF3B2
SF3B1	SLC25A3
SF3B1	NUDT21
SF3B1	CDC40
SF3B1	ATP5F1C
SF3B1	PPIL2
SF3B1	RPL6
SF3B1	HNRNPM
SF3B1	SLU7
SF3B1	ISY1
SF3B1	THOC5
SF3B1	YWHAZ
SF3B1	DDX46
SF3B1	SMNDC1
SF3B1	MRPS5
SF3B1	SRSF9
SF3B1	IMMT
SF3B1	CWC15
SF3B1	ACIN1
SF3B1	SF3B4
SF3B1	MCM5
SF3B1	ALYREF
SF3B1	ZRSR2
SF3B1	CTNNBL1
SF3B1	SNRPC
SF3B1	RPL7
SF3B1	RPS13
SF3B1	PCBP2
SF3B1	PRPF40A
SF3B1	RALY
SF3B1	PPP1CA
SF3B1	EP300
SF3B1	ARF6
SF3B1	YWHAG
SF3B1	GSK3B
SF3B1	HNRNPA2B1
SF3B1	RBM17
SF3B1	SNRPB2
SF3B1	LARP7
SF3B1	TRA2B
SF3B1	FRG1
SF3B1	DHX8
SF3B1	CFLAR
SF3B1	SRRM1
SF3B1	LSM4
SF3B1	SRSF6
SF3B1	IKBKE
SF3B1	RPL23
SF3B1	RSL1D1
SYF2	HNRNPA3
SYF2	HNRNPC
SYF2	ZNF207
SYF2	DDX41
SYF2	HNRNPA1
SYF2	HNRNPF
SYF2	RBM22
SYF2	U2SURP
SYF2	HNRNPK
SYF2	RNPS1
SYF2	CD2BP2
SYF2	HNRNPU
SYF2	HNRNPA2B1
SYF2	HNRNPM
SYF2	CCNDBP1
SYF2	SNRPB2
SYF2	THOC6
SYF2	SNRNP27
SYF2	TRA2B
SYF2	PAXBP1
SYF2	FRG1
SYF2	ACIN1
SYF2	SYNCRIP
SYF2	CDC40
SYF2	SNRPD3
SYF2	ALYREF
SYF2	RBM17
SYF2	SF3B2
SYF2	CWC15
SYF2	ISY1
SYF2	BUD31
SYF2	SART1
SYF2	SLU7
SYF2	DDX46
SYF2	HNRNPR
SYF2	TRIR
SYF2	PRPF40A
SYF2	NUDT21
SYF2	THOC5
SYF2	DHX8
SYF2	CTNNBL1
SYF2	RALY
SYF2	SF3B4
SYF2	SMNDC1
SYF2	PPIL2
SYF2	SRSF6
SYF2	SNRPC
SYF2	SRRM1
SYF2	LSM4
SYF2	SRSF9
SYF2	SPEN
TRA2B	ZNF207
TRA2B	DDX41
TRA2B	RBM22
TRA2B	U2SURP
TRA2B	RNPS1
TRA2B	CD2BP2
TRA2B	TNPO3
TRA2B	TRIR
TRA2B	SPEN
TRA2B	THOC6
TRA2B	PAXBP1
TRA2B	SART1
TRA2B	BUD31
TRA2B	SRPK2
TRA2B	SNRNP27
TRA2B	SF3B2
TRA2B	NUDT21
TRA2B	CDC40
TRA2B	PPIL2
TRA2B	SLU7
TRA2B	ISY1
TRA2B	THOC5
TRA2B	YWHAZ
TRA2B	DDX46
TRA2B	SMNDC1
TRA2B	SRSF9
TRA2B	CWC15
TRA2B	ACIN1
TRA2B	SF3B4
TRA2B	ALYREF
TRA2B	CTNNBL1
TRA2B	SNRPC
TRA2B	PRPF40A
TRA2B	SREK1
TRA2B	SRSF6
TRA2B	DHX8
TRA2B	YWHAG
TRA2B	RBM17
TRA2B	SRRM1
TRA2B	SRSF3
TRA2B	SNRPB2
TRA2B	LSM4
SPEN	ZNF207
SPEN	DDX41
SPEN	NCOR2
SPEN	CTBP1
SPEN	MED23
SPEN	RBM22
SPEN	RBBP4
SPEN	U2SURP
SPEN	RBPJ
SPEN	RNPS1
SPEN	CD2BP2
SPEN	NCOR1
SPEN	TRIR
SPEN	HDAC1
SPEN	RARA
SPEN	ATXN1
SPEN	CTBP2
SPEN	BCL6
SPEN	GRB2
SPEN	PAK1
SPEN	UBE2E2
SPEN	SRA1
SPEN	UBE2L6
SPEN	SNRPB2
SPEN	THOC6
SPEN	SNRNP27
SPEN	PAXBP1
SPEN	ACIN1
SPEN	CDC40
SPEN	ALYREF
SPEN	RBM17
SPEN	SF3B2
SPEN	CWC15
SPEN	ISY1
SPEN	MBD3
SPEN	BUD31
SPEN	SART1
SPEN	SLU7
SPEN	DDX46
SPEN	PRPF40A
SPEN	NUDT21
SPEN	THOC5
SPEN	DHX8
SPEN	CTNNBL1
SPEN	SF3B4
SPEN	SMNDC1
SPEN	PPIL2
SPEN	SRSF6
SPEN	SRRM1
SPEN	LSM4
SPEN	SNRPC
SPEN	SRSF9
ALYREF	HNRNPA3
ALYREF	HNRNPC
ALYREF	ZNF207
ALYREF	DDX41
ALYREF	HNRNPA1
ALYREF	HNRNPF
ALYREF	ARRB2
ALYREF	RBM22
ALYREF	REST
ALYREF	AKT1
ALYREF	U2SURP
ALYREF	HNRNPK
ALYREF	RNPS1
ALYREF	CD2BP2
ALYREF	DDX39A
ALYREF	SYNCRIP
ALYREF	TRIR
ALYREF	HNRNPU
ALYREF	HNRNPR
ALYREF	SNRPD3
ALYREF	NXF1
ALYREF	THOC6
ALYREF	PAXBP1
ALYREF	SART1
ALYREF	BUD31
ALYREF	SNRNP27
ALYREF	SF3B2
ALYREF	NUDT21
ALYREF	CDC40
ALYREF	PPIL2
ALYREF	HNRNPM
ALYREF	SLU7
ALYREF	ISY1
ALYREF	THOC5
ALYREF	NCBP3
ALYREF	DDX46
ALYREF	SMNDC1
ALYREF	SRSF9
ALYREF	CWC15
ALYREF	ACIN1
ALYREF	SF3B4
ALYREF	ARRB1
ALYREF	HNRNPA2B1
ALYREF	SNRPB2
ALYREF	FRG1
ALYREF	SRRM1
ALYREF	RBM17
ALYREF	DHX8
ALYREF	SRSF6
ALYREF	PRPF40A
ALYREF	SNRPC
ALYREF	LSM4
ALYREF	RALY
ALYREF	CTNNBL1
CTNNBL1	ZNF207
CTNNBL1	DDX41
CTNNBL1	RBM22
CTNNBL1	U2SURP
CTNNBL1	RNPS1
CTNNBL1	CD2BP2
CTNNBL1	TRIR
CTNNBL1	THOC6
CTNNBL1	PAXBP1
CTNNBL1	SART1
CTNNBL1	BUD31
CTNNBL1	SNRNP27
CTNNBL1	SF3B2
CTNNBL1	NUDT21
CTNNBL1	CDC40
CTNNBL1	PPIL2
CTNNBL1	SLU7
CTNNBL1	ISY1
CTNNBL1	THOC5
CTNNBL1	STAT1
CTNNBL1	DDX46
CTNNBL1	SMNDC1
CTNNBL1	SRSF9
CTNNBL1	CWC15
CTNNBL1	ACIN1
CTNNBL1	SF3B4
CTNNBL1	SNRPB2
CTNNBL1	RBM17
CTNNBL1	PRPF40A
CTNNBL1	DHX8
CTNNBL1	SRRM1
CTNNBL1	SNRPC
CTNNBL1	SRSF6
CTNNBL1	LSM4
PRPF40A	BAG6
PRPF40A	ZNF207
PRPF40A	DDX41
PRPF40A	UBQLN1
PRPF40A	UBE2K
PRPF40A	HNRNPUL1
PRPF40A	RBM22
PRPF40A	VCL
PRPF40A	U2SURP
PRPF40A	PRKAR1A
PRPF40A	RNPS1
